,title,year,rating
0,The Shawshank Redemption,(1994),9.2
1,The Godfather,(1972),9.1
2,The Godfather: Part II,(1974),9.0
3,The Dark Knight,(2008),9.0
4,12 Angry Men,(1957),8.9
5,Schindler's List,(1993),8.9
6,The Lord of the Rings: The Return of the King,(2003),8.9
7,Pulp Fiction,(1994),8.8
8,"Il buono, il brutto, il cattivo",(1966),8.8
9,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8
10,Fight Club,(1999),8.8
11,Forrest Gump,(1994),8.7
12,Inception,(2010),8.7
13,The Lord of the Rings: The Two Towers,(2002),8.7
14,Star Wars: Episode V - The Empire Strikes Back,(1980),8.7
15,The Matrix,(1999),8.6
16,Goodfellas,(1990),8.6
17,One Flew Over the Cuckoo's Nest,(1975),8.6
18,Shichinin no samurai,(1954),8.6
19,Se7en,(1995),8.6
20,The Silence of the Lambs,(1991),8.6
21,Cidade de Deus,(2002),8.6
22,La vita è bella,(1997),8.6
23,It's a Wonderful Life,(1946),8.6
24,Star Wars,(1977),8.6
25,Saving Private Ryan,(1998),8.5
26,Interstellar,(2014),8.5
27,Sen to Chihiro no kamikakushi,(2001),8.5
28,The Green Mile,(1999),8.5
29,Gisaengchung,(2019),8.5
30,Léon,(1994),8.5
31,Seppuku,(1962),8.5
32,The Pianist,(2002),8.5
33,The Usual Suspects,(1995),8.5
34,Terminator 2: Judgment Day,(1991),8.5
35,Back to the Future,(1985),8.5
36,Psycho,(1960),8.5
37,The Lion King,(1994),8.5
38,Modern Times,(1936),8.5
39,American History X,(1998),8.5
40,City Lights,(1931),8.5
41,Hotaru no haka,(1988),8.5
42,Whiplash,(2014),8.5
43,Gladiator,(2000),8.5
44,The Departed,(2006),8.5
45,The Intouchables,(2011),8.5
46,The Prestige,(2006),8.5
47,Casablanca,(1942),8.4
48,Once Upon a Time in the West,(1968),8.4
49,Rear Window,(1954),8.4
50,Nuovo Cinema Paradiso,(1988),8.4
51,Alien,(1979),8.4
52,Apocalypse Now,(1979),8.4
53,Memento,(2000),8.4
54,Raiders of the Lost Ark,(1981),8.4
55,The Great Dictator,(1940),8.4
56,The Lives of Others,(2006),8.4
57,Django Unchained,(2012),8.4
58,Paths of Glory,(1957),8.4
59,Sunset Blvd.,(1950),8.4
60,WALL·E,(2008),8.4
61,Avengers: Infinity War,(2018),8.4
62,The Shining,(1980),8.4
63,Witness for the Prosecution,(1957),8.4
64,Spider-Man: Into the Spider-Verse,(2018),8.4
65,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),8.4
66,Joker,(2019),8.3
67,Mononoke-hime,(1997),8.3
68,Oldeuboi,(2003),8.3
69,Kimi no na wa.,(2016),8.3
70,Once Upon a Time in America,(1984),8.3
71,The Dark Knight Rises,(2012),8.3
72,Aliens,(1986),8.3
73,Coco,(2017),8.3
74,Hamilton,(2020),8.3
75,Capharnaüm,(2018),8.3
76,Avengers: Endgame,(2019),8.3
77,Das Boot,(1981),8.3
78,Tengoku to jigoku,(1963),8.3
79,American Beauty,(1999),8.3
80,Toy Story,(1995),8.3
81,3 Idiots,(2009),8.3
82,Amadeus,(1984),8.3
83,Braveheart,(1995),8.3
84,Inglourious Basterds,(2009),8.3
85,Good Will Hunting,(1997),8.3
86,Star Wars: Episode VI - Return of the Jedi,(1983),8.3
87,2001: A Space Odyssey,(1968),8.3
88,Reservoir Dogs,(1992),8.3
89,M - Eine Stadt sucht einen Mörder,(1931),8.3
90,Taare Zameen Par,(2007),8.3
91,Vertigo,(1958),8.3
92,Citizen Kane,(1941),8.3
93,Idi i smotri,(1985),8.3
94,Jagten,(2012),8.3
95,Requiem for a Dream,(2000),8.3
96,Singin' in the Rain,(1952),8.3
97,Pather Panchali,(1955),8.3
98,North by Northwest,(1959),8.3
99,Eternal Sunshine of the Spotless Mind,(2004),8.3
100,Ikiru,(1952),8.3
101,Ladri di biciclette,(1948),8.3
102,Lawrence of Arabia,(1962),8.2
103,The Kid,(1921),8.2
104,Full Metal Jacket,(1987),8.2
105,Dangal,(2016),8.2
106,The Father,(2020),8.2
107,A Clockwork Orange,(1971),8.2
108,The Apartment,(1960),8.2
109,Metropolis,(1927),8.2
110,Taxi Driver,(1976),8.2
111,Incendies,(2010),8.2
112,Double Indemnity,(1944),8.2
113,The Sting,(1973),8.2
114,Jodaeiye Nader az Simin,(2011),8.2
115,Scarface,(1983),8.2
116,1917,(2019),8.2
117,Snatch,(2000),8.2
118,Le fabuleux destin d'Amélie Poulain,(2001),8.2
119,Toy Story 3,(2010),8.2
120,To Kill a Mockingbird,(1962),8.2
121,Per qualche dollaro in più,(1965),8.2
122,Up,(2009),8.2
123,Indiana Jones and the Last Crusade,(1989),8.2
124,L.A. Confidential,(1997),8.2
125,Heat,(1995),8.2
126,Rashômon,(1950),8.2
127,Yôjinbô,(1961),8.2
128,Ran,(1985),8.2
129,Die Hard,(1988),8.2
130,Green Book,(2018),8.2
131,Der Untergang,(2004),8.2
132,Monty Python and the Holy Grail,(1975),8.2
133,All About Eve,(1950),8.2
134,Some Like It Hot,(1959),8.2
135,Batman Begins,(2005),8.2
136,Unforgiven,(1992),8.2
137,Bacheha-Ye aseman,(1997),8.2
138,Hauru no ugoku shiro,(2004),8.2
139,The Wolf of Wall Street,(2013),8.2
140,Judgment at Nuremberg,(1961),8.2
141,The Great Escape,(1963),8.2
142,Casino,(1995),8.2
143,There Will Be Blood,(2007),8.2
144,The Treasure of the Sierra Madre,(1948),8.2
145,Pan's Labyrinth,(2006),8.1
146,A Beautiful Mind,(2001),8.1
147,El secreto de sus ojos,(2009),8.1
148,Raging Bull,(1980),8.1
149,Tonari no Totoro,(1988),8.1
150,Chinatown,(1974),8.1
151,"Lock, Stock and Two Smoking Barrels",(1998),8.1
152,The Gold Rush,(1925),8.1
153,Shutter Island,(2010),8.1
154,No Country for Old Men,(2007),8.1
155,Dial M for Murder,(1954),8.1
156,Det sjunde inseglet,(1957),8.1
157,"Three Billboards Outside Ebbing, Missouri",(2017),8.1
158,The Elephant Man,(1980),8.1
159,The Thing,(1982),8.1
160,The Sixth Sense,(1999),8.1
161,Klaus,(2019),8.1
162,The Third Man,(1949),8.1
163,Smultronstället,(1957),8.1
164,V for Vendetta,(2005),8.1
165,Jurassic Park,(1993),8.1
166,Inside Out,(2015),8.1
167,The Truman Show,(1998),8.1
168,Salinui chueok,(2003),8.1
169,Blade Runner,(1982),8.1
170,Trainspotting,(1996),8.1
171,The Bridge on the River Kwai,(1957),8.1
172,Warrior,(2011),8.1
173,Fargo,(1996),8.1
174,Finding Nemo,(2003),8.1
175,Tôkyô monogatari,(1953),8.1
176,Gone with the Wind,(1939),8.1
177,Kill Bill: Vol. 1,(2003),8.1
178,Babam ve Oglum,(2005),8.1
179,On the Waterfront,(1954),8.1
180,Stalker,(1979),8.1
181,Relatos salvajes,(2014),8.1
182,Sherlock Jr.,(1924),8.1
183,The General,(1926),8.1
184,The Deer Hunter,(1978),8.1
185,Gran Torino,(2008),8.1
186,Persona,(1966),8.1
187,The Grand Budapest Hotel,(2014),8.1
188,Prisoners,(2013),8.1
189,Mary and Max.,(2009),8.1
190,Before Sunrise,(1995),8.1
191,Mr. Smith Goes to Washington,(1939),8.1
192,Room,(2015),8.1
193,In the Name of the Father,(1993),8.1
194,Catch Me If You Can,(2002),8.1
195,Barry Lyndon,(1975),8.1
196,Gone Girl,(2014),8.1
197,Hacksaw Ridge,(2016),8.1
198,Andhadhun,(2018),8.1
199,To Be or Not to Be,(1942),8.1
200,La passion de Jeanne d'Arc,(1928),8.1
201,Ford v Ferrari,(2019),8.1
202,12 Years a Slave,(2013),8.1
203,The Big Lebowski,(1998),8.1
204,How to Train Your Dragon,(2010),8.1
205,Mad Max: Fury Road,(2015),8.1
206,Dead Poets Society,(1989),8.1
207,Ben-Hur,(1959),8.1
208,Höstsonaten,(1978),8.1
209,Le salaire de la peur,(1953),8.1
210,Million Dollar Baby,(2004),8.1
211,Harry Potter and the Deathly Hallows: Part 2,(2011),8.1
212,Ah-ga-ssi,(2016),8.1
213,Network,(1976),8.1
214,Stand by Me,(1986),8.1
215,Cool Hand Luke,(1967),8.1
216,Les quatre cents coups,(1959),8.1
217,Logan,(2017),8.1
218,Gangs of Wasseypur,(2012),8.0
219,Hachi: A Dog's Tale,(2009),8.0
220,La haine,(1995),8.0
221,Eskiya,(1996),8.0
222,Platoon,(1986),8.0
223,Spotlight,(2015),8.0
224,Koe no katachi,(2016),8.0
225,Life of Brian,(1979),8.0
226,Rebecca,(1940),8.0
227,"Monsters, Inc.",(2001),8.0
228,Hotel Rwanda,(2004),8.0
229,Rush,(2013),8.0
230,Fa Yeung Nin Wah,(2000),8.0
231,Into the Wild,(2007),8.0
232,Andrei Rublev,(1966),8.0
233,Amores perros,(2000),8.0
234,Rocky,(1976),8.0
235,It Happened One Night,(1934),8.0
236,Kaze no tani no Naushika,(1984),8.0
237,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",(1997),8.0
238,La battaglia di Algeri,(1966),8.0
239,Before Sunset,(2004),8.0
240,Fanny och Alexander,(1982),8.0
241,Kimetsu no Yaiba: Mugen Ressha-Hen,(2020),8.0
242,Trois couleurs: Rouge,(1994),8.0
243,Ratsasan,(2018),8.0
244,"Paris, Texas",(1984),8.0
245,The Princess Bride,(1987),8.0
246,Du rififi chez les hommes,(1955),8.0
247,Drishyam,(2013),8.0
248,Le notti di Cabiria,(1957),8.0
249,Hera Pheri,(2000),8.0
